"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","geneSymbols"
"GO:0030449","regulation of complement activation","17/57","115/18862",7.40207562207603e-25,9.93358548482603e-22,7.16053420703986e-22,"3502/28299/28442/28896/722/2147/720/727/721/28796/28793/28903/3537/1191/3075/716/28912",17,"IGHG3/IGKV1-5/IGHV3-23/IGKV1D-33/C4BPA/F2/C4A/C5/C4B/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/CLU/CFH/C1S/IGKV3-20"
"GO:0002920","regulation of humoral immune response","17/57","138/18862",1.94638781601785e-23,1.30602622454798e-20,9.41437054168635e-21,"3502/28299/28442/28896/722/2147/720/727/721/28796/28793/28903/3537/1191/3075/716/28912",17,"IGHG3/IGKV1-5/IGHV3-23/IGKV1D-33/C4BPA/F2/C4A/C5/C4B/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/CLU/CFH/C1S/IGKV3-20"
"GO:0006956","complement activation","18/57","178/18862",3.30586780172587e-23,1.47882486330537e-20,1.06599737185476e-20,"3502/28299/28442/28896/722/2147/720/727/3494/721/28796/28793/28903/3537/1191/3075/716/28912",18,"IGHG3/IGKV1-5/IGHV3-23/IGKV1D-33/C4BPA/F2/C4A/C5/IGHA2/C4B/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/CLU/CFH/C1S/IGKV3-20"
"GO:0006959","humoral immune response","21/57","380/18862",1.5500050334712e-21,4.75142863867123e-19,3.42502385986262e-19,"3502/28299/28442/3512/28896/722/2147/3273/720/727/3494/721/28796/28793/28903/3537/1191/3075/6280/716/28912",21,"IGHG3/IGKV1-5/IGHV3-23/JCHAIN/IGKV1D-33/C4BPA/F2/HRG/C4A/C5/IGHA2/C4B/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/CLU/CFH/S100A9/C1S/IGKV3-20"
"GO:0006958","complement activation, classical pathway","16/57","141/18862",1.77027892647959e-21,4.75142863867123e-19,3.42502385986262e-19,"3502/28299/28442/28896/722/720/727/3494/721/28796/28793/28903/3537/1191/716/28912",16,"IGHG3/IGKV1-5/IGHV3-23/IGKV1D-33/C4BPA/C4A/C5/IGHA2/C4B/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/CLU/C1S/IGKV3-20"
"GO:0002455","humoral immune response mediated by circulating immunoglobulin","16/57","156/18862",9.44784018186552e-21,2.11316692067725e-18,1.52325703984814e-18,"3502/28299/28442/28896/722/720/727/3494/721/28796/28793/28903/3537/1191/716/28912",16,"IGHG3/IGKV1-5/IGHV3-23/IGKV1D-33/C4BPA/C4A/C5/IGHA2/C4B/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/CLU/C1S/IGKV3-20"
"GO:0006898","receptor-mediated endocytosis","19/57","328/18862",7.64777462124769e-20,1.46618764881634e-17,1.05688795141754e-17,"3240/3250/28299/28442/3512/28896/335/3494/6288/3043/28796/3040/28793/345/28903/3537/1191/348/28912",19,"HP/HPR/IGKV1-5/IGHV3-23/JCHAIN/IGKV1D-33/APOA1/IGHA2/SAA1/HBB/IGLV3-21/HBA2/IGLV3-25/APOC3/IGKV1D-12/IGLC1/CLU/APOE/IGKV3-20"
"GO:0016064","immunoglobulin mediated immune response","16/57","223/18862",3.19551201318817e-18,5.36047140212315e-16,3.86404676331569e-16,"3502/28299/28442/28896/722/720/727/3494/721/28796/28793/28903/3537/1191/716/28912",16,"IGHG3/IGKV1-5/IGHV3-23/IGKV1D-33/C4BPA/C4A/C5/IGHA2/C4B/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/CLU/C1S/IGKV3-20"
"GO:0019724","B cell mediated immunity","16/57","226/18862",3.96237947787448e-18,5.90834806589729e-16,4.25897864346977e-16,"3502/28299/28442/28896/722/720/727/3494/721/28796/28793/28903/3537/1191/716/28912",16,"IGHG3/IGKV1-5/IGHV3-23/IGKV1D-33/C4BPA/C4A/C5/IGHA2/C4B/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/CLU/C1S/IGKV3-20"
"GO:0002697","regulation of immune effector process","18/57","465/18862",1.04552258130505e-15,1.40309130411138e-13,1.01140552865194e-13,"3502/28299/28442/28896/722/2147/335/720/727/721/28796/28793/28903/3537/1191/3075/716/28912",18,"IGHG3/IGKV1-5/IGHV3-23/IGKV1D-33/C4BPA/F2/APOA1/C4A/C5/C4B/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/CLU/CFH/C1S/IGKV3-20"
"GO:0002449","lymphocyte mediated immunity","16/57","360/18862",6.33177014948037e-15,7.72475958236606e-13,5.5683222654282e-13,"3502/28299/28442/28896/722/720/727/3494/721/28796/28793/28903/3537/1191/716/28912",16,"IGHG3/IGKV1-5/IGHV3-23/IGKV1D-33/C4BPA/C4A/C5/IGHA2/C4B/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/CLU/C1S/IGKV3-20"
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","16/57","367/18862",8.54790682925294e-15,9.55940913738121e-13,6.89081261059952e-13,"3502/28299/28442/28896/722/720/727/3494/721/28796/28793/28903/3537/1191/716/28912",16,"IGHG3/IGKV1-5/IGHV3-23/IGKV1D-33/C4BPA/C4A/C5/IGHA2/C4B/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/CLU/C1S/IGKV3-20"
"GO:0006909","phagocytosis","14/57","381/18862",5.19735518727984e-12,5.36526973948427e-10,3.86750560089893e-10,"3502/28299/28442/28896/722/335/720/3494/721/28796/28793/28903/3537/28912",14,"IGHG3/IGKV1-5/IGHV3-23/IGKV1D-33/C4BPA/APOA1/C4A/IGHA2/C4B/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/IGKV3-20"
"GO:0006953","acute-phase response","7/57","46/18862",7.67782753131577e-11,7.35974610501841e-09,5.30520564005955e-09,"3240/5265/2147/6288/5345/6289/3700",7,"HP/SERPINA1/F2/SAA1/SERPINF2/SAA2/ITIH4"
"GO:0002433","immune response-regulating cell surface receptor signaling pathway involved in phagocytosis","9/57","139/18862",3.28985315333912e-10,2.75936433236319e-08,1.98906253152543e-08,"3502/28299/28442/28896/28796/28793/28903/3537/28912",9,"IGHG3/IGKV1-5/IGHV3-23/IGKV1D-33/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/IGKV3-20"
"GO:0038096","Fc-gamma receptor signaling pathway involved in phagocytosis","9/57","139/18862",3.28985315333912e-10,2.75936433236319e-08,1.98906253152543e-08,"3502/28299/28442/28896/28796/28793/28903/3537/28912",9,"IGHG3/IGKV1-5/IGHV3-23/IGKV1D-33/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/IGKV3-20"
"GO:0038094","Fc-gamma receptor signaling pathway","9/57","140/18862",3.50779174328814e-10,2.76909207028981e-08,1.99607468240359e-08,"3502/28299/28442/28896/28796/28793/28903/3537/28912",9,"IGHG3/IGKV1-5/IGHV3-23/IGKV1D-33/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/IGKV3-20"
"GO:0002431","Fc receptor mediated stimulatory signaling pathway","9/57","145/18862",4.79962304649874e-10,3.57838562688962e-08,2.57944653785517e-08,"3502/28299/28442/28896/28796/28793/28903/3537/28912",9,"IGHG3/IGKV1-5/IGHV3-23/IGKV1D-33/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/IGKV3-20"
"GO:0002526","acute inflammatory response","8/57","107/18862",1.07945005597312e-09,7.62432618482066e-08,5.4959257697468e-08,"3240/3250/5265/2147/6288/5345/6289/3700",8,"HP/HPR/SERPINA1/F2/SAA1/SERPINF2/SAA2/ITIH4"
"GO:0038093","Fc receptor signaling pathway","9/57","239/18862",3.83885708552548e-08,2.55679471654829e-06,1.84304207742402e-06,"3502/28299/28442/28896/28796/28793/28903/3537/28912",9,"IGHG3/IGKV1-5/IGHV3-23/IGKV1D-33/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/IGKV3-20"
"GO:0038095","Fc-epsilon receptor signaling pathway","8/57","169/18862",4.00094553260165e-08,2.55679471654829e-06,1.84304207742402e-06,"28299/28442/28896/28796/28793/28903/3537/28912",8,"IGKV1-5/IGHV3-23/IGKV1D-33/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/IGKV3-20"
"GO:0002576","platelet degranulation","7/57","128/18862",1.12058480139277e-07,6.83556728849592e-06,4.92735613626774e-06,"5265/3273/1/335/5345/3700/1191",7,"SERPINA1/HRG/A1BG/APOA1/SERPINF2/ITIH4/CLU"
"GO:0019730","antimicrobial humoral response","7/57","142/18862",2.28093160297657e-07,1.3308740048672e-05,9.59348349261082e-06,"3512/2147/3273/3494/1191/6280/28912",7,"JCHAIN/F2/HRG/IGHA2/CLU/S100A9/IGKV3-20"
"GO:0043691","reverse cholesterol transport","4/57","20/18862",3.50158949135025e-07,1.95797212391335e-05,1.41138629059249e-05,"335/345/1191/348",4,"APOA1/APOC3/CLU/APOE"
