"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","geneSymbols"
"GO:0072562","blood microparticle","30/56","146/19520",3.90891473016209e-50,4.45616279238479e-48,3.25057119666111e-48,"3240/3250/3502/28299/28442/3512/28896/1356/722/2147/183/3273/1/335/720/3494/721/5345/3043/28796/3040/28793/28903/3537/3700/1191/348/3075/716/28912",30,"HP/HPR/IGHG3/IGKV1-5/IGHV3-23/JCHAIN/IGKV1D-33/CP/C4BPA/F2/AGT/HRG/A1BG/APOA1/C4A/IGHA2/C4B/SERPINF2/HBB/IGLV3-21/HBA2/IGLV3-25/IGKV1D-12/IGLC1/ITIH4/CLU/APOE/CFH/C1S/IGKV3-20"
"GO:0034364","high-density lipoprotein particle","7/56","27/19520",9.20856775443232e-13,5.23146432933346e-11,3.81611894752856e-11,"3250/335/6288/345/6289/1191/348",7,"HPR/APOA1/SAA1/APOC3/SAA2/CLU/APOE"
"GO:0019814","immunoglobulin complex","11/56","167/19520",1.37670113929828e-12,5.23146432933346e-11,3.81611894752856e-11,"3502/28299/28442/3512/28896/3494/28796/28793/28903/3537/28912",11,"IGHG3/IGKV1-5/IGHV3-23/JCHAIN/IGKV1D-33/IGHA2/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/IGKV3-20"
"GO:0034358","plasma lipoprotein particle","7/56","36/19520",8.48653398637149e-12,1.9349297488927e-10,1.41144459983863e-10,"3250/335/6288/345/6289/1191/348",7,"HPR/APOA1/SAA1/APOC3/SAA2/CLU/APOE"
"GO:1990777","lipoprotein particle","7/56","36/19520",8.48653398637149e-12,1.9349297488927e-10,1.41144459983863e-10,"3250/335/6288/345/6289/1191/348",7,"HPR/APOA1/SAA1/APOC3/SAA2/CLU/APOE"
"GO:0032994","protein-lipid complex","7/56","39/19520",1.55339016802162e-11,2.58863858656387e-10,1.88829592187023e-10,"3250/335/6288/345/6289/1191/348",7,"HPR/APOA1/SAA1/APOC3/SAA2/CLU/APOE"
"GO:0071682","endocytic vesicle lumen","6/56","20/19520",1.58951492157431e-11,2.58863858656387e-10,1.88829592187023e-10,"3240/335/6288/3043/3040/348",6,"HP/APOA1/SAA1/HBB/HBA2/APOE"
"GO:0062023","collagen-containing extracellular matrix","12/56","423/19520",2.16605399881689e-09,3.08662694831407e-08,2.25155613034914e-08,"5265/2147/183/3273/1/335/5345/345/3700/1191/348/6280",12,"SERPINA1/F2/AGT/HRG/A1BG/APOA1/SERPINF2/APOC3/ITIH4/CLU/APOE/S100A9"
"GO:0042571","immunoglobulin complex, circulating","6/56","77/19520",8.57783890341676e-08,1.08652626109946e-06,7.92572249555466e-07,"3502/28442/3512/3494/3537/28912",6,"IGHG3/IGHV3-23/JCHAIN/IGHA2/IGLC1/IGKV3-20"
"GO:0034774","secretory granule lumen","9/56","322/19520",3.10110899657616e-07,3.44040410887807e-06,2.5096207257744e-06,"3240/5265/3273/1/335/5345/3700/1191/6280",9,"HP/SERPINA1/HRG/A1BG/APOA1/SERPINF2/ITIH4/CLU/S100A9"
