"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","geneSymbols"
"GO:0003823","antigen binding","11/57","165/18337",2.8882120470822e-12,4.4767286729774e-10,2.8882120470822e-10,"3502/28299/28442/3512/28896/3494/28796/28793/28903/3537/28912",11,"IGHG3/IGKV1-5/IGHV3-23/JCHAIN/IGKV1D-33/IGHA2/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/IGKV3-20"
"GO:0004857","enzyme inhibitor activity","11/57","385/18337",2.35316895991513e-08,1.82370594393423e-06,1.17658447995757e-06,"5265/183/3273/335/720/727/85450/721/5345/345/3700",11,"SERPINA1/AGT/HRG/APOA1/C4A/C5/ITPRIP/C4B/SERPINF2/APOC3/ITIH4"
"GO:0004866","endopeptidase inhibitor activity","8/57","180/18337",8.08760533139965e-08,4.1239393685739e-06,2.66060604424122e-06,"5265/183/3273/720/727/721/5345/3700",8,"SERPINA1/AGT/HRG/C4A/C5/C4B/SERPINF2/ITIH4"
"GO:0030414","peptidase inhibitor activity","8/57","187/18337",1.08571833035237e-07,4.1239393685739e-06,2.66060604424122e-06,"5265/183/3273/720/727/721/5345/3700",8,"SERPINA1/AGT/HRG/C4A/C5/C4B/SERPINF2/ITIH4"
"GO:0061135","endopeptidase regulator activity","8/57","192/18337",1.33030302212061e-07,4.1239393685739e-06,2.66060604424122e-06,"5265/183/3273/720/727/721/5345/3700",8,"SERPINA1/AGT/HRG/C4A/C5/C4B/SERPINF2/ITIH4"
"GO:0061134","peptidase regulator activity","8/57","230/18337",5.28055131111373e-07,1.36414242203771e-05,8.80091885185622e-06,"5265/183/3273/720/727/721/5345/3700",8,"SERPINA1/AGT/HRG/C4A/C5/C4B/SERPINF2/ITIH4"
"GO:0070325","lipoprotein particle receptor binding","4/57","28/18337",1.62462262146563e-06,3.59737866181676e-05,2.32088945923662e-05,"335/345/1191/348",4,"APOA1/APOC3/CLU/APOE"
"GO:0034987","immunoglobulin receptor binding","5/57","79/18337",4.58775696343613e-06,8.88877911665749e-05,5.73469620429516e-05,"3502/28442/3512/3494/3537",5,"IGHG3/IGHV3-23/JCHAIN/IGHA2/IGLC1"
"GO:0016209","antioxidant activity","5/57","86/18337",6.97300026356804e-06,0.000120090560094783,7.74777807063116e-05,"3240/3043/3040/348/6280",5,"HP/HBB/HBA2/APOE/S100A9"
"GO:0004867","serine-type endopeptidase inhibitor activity","5/57","98/18337",1.32172887191606e-05,0.000204867975146989,0.000132172887191606,"5265/183/3273/5345/3700",5,"SERPINA1/AGT/HRG/SERPINF2/ITIH4"
