"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","geneSymbols"
"GO:0072562","blood microparticle","24/78","146/19520",7.35621006196832e-33,1.23584329041068e-30,1.01438265065037e-30,"3240/3250/28442/2147/28896/721/1356/722/28796/28793/28903/3537/3700/348/3075/716/1191/3512/28912/28822/3043/3045/2335/28452",24,"HP/HPR/IGHV3-23/F2/IGKV1D-33/C4B/CP/C4BPA/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/ITIH4/APOE/CFH/C1S/CLU/JCHAIN/IGKV3-20/IGLV1-47/HBB/HBD/FN1/IGHV3-7"
"GO:0019814","immunoglobulin complex","13/78","167/19520",1.11775509143264e-13,9.38914276803414e-12,7.70662720935133e-12,"28442/28896/28796/28793/28903/3537/3512/28912/28820/28822/28439/28452/28420",13,"IGHV3-23/IGKV1D-33/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/JCHAIN/IGKV3-20/IGLV1-51/IGLV1-47/IGHV3-30/IGHV3-7/IGHV3-53"
"GO:0034358","plasma lipoprotein particle","8/78","36/19520",1.24285605481743e-12,5.21999543023319e-11,4.28458271529165e-11,"3250/6288/345/6289/348/1191/4018/350",8,"HPR/SAA1/APOC3/SAA2/APOE/CLU/LPA/APOH"
"GO:1990777","lipoprotein particle","8/78","36/19520",1.24285605481743e-12,5.21999543023319e-11,4.28458271529165e-11,"3250/6288/345/6289/348/1191/4018/350",8,"HPR/SAA1/APOC3/SAA2/APOE/CLU/LPA/APOH"
"GO:0032994","protein-lipid complex","8/78","39/19520",2.50280888245558e-12,8.40943784505075e-11,6.90248344424592e-11,"3250/6288/345/6289/348/1191/4018/350",8,"HPR/SAA1/APOC3/SAA2/APOE/CLU/LPA/APOH"
"GO:0034364","high-density lipoprotein particle","7/78","27/19520",1.02845871606524e-11,2.87968440498268e-10,2.3636507334131e-10,"3250/6288/345/6289/348/1191/350",7,"HPR/SAA1/APOC3/SAA2/APOE/CLU/APOH"
"GO:0042571","immunoglobulin complex, circulating","7/78","77/19520",2.37472466795221e-08,5.6993392030853e-07,4.67802904513894e-07,"28442/3537/3512/28912/28439/28452/28420",7,"IGHV3-23/IGLC1/JCHAIN/IGKV3-20/IGHV3-30/IGHV3-7/IGHV3-53"
"GO:0071682","endocytic vesicle lumen","4/78","20/19520",1.08860747506184e-06,2.28607569762986e-05,1.87641551622501e-05,"3240/6288/348/3043",4,"HP/SAA1/APOE/HBB"
"GO:0031838","haptoglobin-hemoglobin complex","3/78","11/19520",9.89663628584122e-06,0.000184737210669036,0.000151632672917567,"3240/3043/3045",3,"HP/HBB/HBD"
"GO:0042627","chylomicron","3/78","13/19520",1.70555595677169e-05,0.000286533400737644,0.000235187189828517,"345/348/350",3,"APOC3/APOE/APOH"
"GO:0034774","secretory granule lumen","8/78","322/19520",4.32387390196639e-05,0.000590979751699134,0.000485077365116457,"3240/3700/6280/1191/3728/2335/350/5265",8,"HP/ITIH4/S100A9/CLU/JUP/FN1/APOH/SERPINA1"
"GO:0062023","collagen-containing extracellular matrix","9/78","423/19520",4.70697903770985e-05,0.000590979751699134,0.000485077365116457,"2147/345/3700/348/6280/1191/2335/350/5265",9,"F2/APOC3/ITIH4/APOE/S100A9/CLU/FN1/APOH/SERPINA1"
"GO:0060205","cytoplasmic vesicle lumen","8/78","326/19520",4.71721958539477e-05,0.000590979751699134,0.000485077365116457,"3240/3700/6280/1191/3728/2335/350/5265",8,"HP/ITIH4/S100A9/CLU/JUP/FN1/APOH/SERPINA1"
"GO:0031983","vesicle lumen","8/78","328/19520",4.92483126415945e-05,0.000590979751699134,0.000485077365116457,"3240/3700/6280/1191/3728/2335/350/5265",8,"HP/ITIH4/S100A9/CLU/JUP/FN1/APOH/SERPINA1"
"GO:0034361","very-low-density lipoprotein particle","3/78","20/19520",6.66266254186432e-05,0.000699579566895754,0.000574216311173833,"345/348/350",3,"APOC3/APOE/APOH"
"GO:0034385","triglyceride-rich plasma lipoprotein particle","3/78","20/19520",6.66266254186432e-05,0.000699579566895754,0.000574216311173833,"345/348/350",3,"APOC3/APOE/APOH"
"GO:0005833","hemoglobin complex","2/78","12/19520",0.00101372003040631,0.0100179391240153,0.00822274451908521,"3043/3045",2,"HBB/HBD"
"GO:0031089","platelet dense granule lumen","2/78","14/19520",0.00139047960957759,0.0124609307104316,0.0102279569114445,"3700/350",2,"ITIH4/APOH"
"GO:0005788","endoplasmic reticulum lumen","6/78","306/19520",0.00140927192558453,0.0124609307104316,0.0102279569114445,"2147/1356/348/1191/2335/5265",6,"F2/CP/APOE/CLU/FN1/SERPINA1"
"GO:0031093","platelet alpha granule lumen","3/78","67/19520",0.00244667456823451,0.0205520663731699,0.0168691772862485,"1191/2335/5265",3,"CLU/FN1/SERPINA1"
"GO:0042827","platelet dense granule","2/78","21/19520",0.00315119178070968,0.0252095342456774,0.0206920362542841,"3700/350",2,"ITIH4/APOH"
"GO:0005640","nuclear outer membrane","2/78","27/19520",0.00518599083764211,0.0396021118510852,0.0325054928101013,"85450/3000",2,"ITPRIP/GUCY2D"
"GO:0009897","external side of plasma membrane","6/78","402/19520",0.00542652197626191,0.0396372040005218,0.032534296516719,"28442/2147/3537/28439/28452/28420",6,"IGHV3-23/F2/IGLC1/IGHV3-30/IGHV3-7/IGHV3-53"
"GO:0031091","platelet alpha granule","3/78","91/19520",0.00579419619461737,0.0405593733623216,0.0332912149778454,"1191/2335/5265",3,"CLU/FN1/SERPINA1"
