"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","geneSymbols"
"GO:0031638","zymogen activation","2/6","58/18862",0.000138293121961544,0.0136910190741928,0.00596844000044557,"922/3240",2,"CD5L/HP"
"GO:0030449","regulation of complement activation","2/6","115/18862",0.000543993287068707,0.0258040657068545,0.0112489813288786,"922/714",2,"CD5L/C1QC"
"GO:0002920","regulation of humoral immune response","2/6","138/18862",0.000781941385056195,0.0258040657068545,0.0112489813288786,"922/714",2,"CD5L/C1QC"
"GO:0006956","complement activation","2/6","178/18862",0.00129569557272796,0.032068465425017,0.0139798732846964,"922/714",2,"CD5L/C1QC"
"GO:0016485","protein processing","2/6","224/18862",0.00204091703272757,0.0345951902253087,0.0150813694762111,"922/3240",2,"CD5L/HP"
"GO:0010951","negative regulation of endopeptidase activity","2/6","245/18862",0.00243518617482729,0.0345951902253087,0.0150813694762111,"3698/5858",2,"ITIH2/PZP"
"GO:0010466","negative regulation of peptidase activity","2/6","257/18862",0.00267552115348682,0.0345951902253087,0.0150813694762111,"3698/5858",2,"ITIH2/PZP"
"GO:0097278","complement-dependent cytotoxicity","1/6","10/18862",0.00317720624545081,0.0345951902253087,0.0150813694762111,"922",1,"CD5L"
"GO:0051604","protein maturation","2/6","293/18862",0.00346147924789053,0.0345951902253087,0.0150813694762111,"922/3240",2,"CD5L/HP"
"GO:0098883","synapse pruning","1/6","11/18862",0.00349446365912209,0.0345951902253087,0.0150813694762111,"714",1,"C1QC"
"GO:0030852","regulation of granulocyte differentiation","1/6","15/18862",0.00476265200539705,0.0360138696078615,0.0156998261980045,"714",1,"C1QC"
"GO:0045861","negative regulation of proteolysis","2/6","346/18862",0.00479323804302167,0.0360138696078615,0.0156998261980045,"3698/5858",2,"ITIH2/PZP"
"GO:0006959","humoral immune response","2/6","380/18862",0.0057550897600918,0.0360138696078615,0.0156998261980045,"922/714",2,"CD5L/C1QC"
"GO:0010310","regulation of hydrogen peroxide metabolic process","1/6","20/18862",0.00634599583302342,0.0360138696078615,0.0156998261980045,"3240",1,"HP"
"GO:0150146","cell junction disassembly","1/6","20/18862",0.00634599583302342,0.0360138696078615,0.0156998261980045,"714",1,"C1QC"
"GO:0045649","regulation of macrophage differentiation","1/6","22/18862",0.00697874532258835,0.0360138696078615,0.0156998261980045,"714",1,"C1QC"
"GO:0052548","regulation of endopeptidase activity","2/6","426/18862",0.00718750361144686,0.0360138696078615,0.0156998261980045,"3698/5858",2,"ITIH2/PZP"
"GO:0052547","regulation of peptidase activity","2/6","455/18862",0.00816674051124809,0.0360138696078615,0.0156998261980045,"3698/5858",2,"ITIH2/PZP"
"GO:0051346","negative regulation of hydrolase activity","2/6","456/18862",0.00820154599742938,0.0360138696078615,0.0156998261980045,"3698/5858",2,"ITIH2/PZP"
"GO:0002697","regulation of immune effector process","2/6","465/18862",0.00851789270885697,0.0360138696078615,0.0156998261980045,"922/714",2,"CD5L/C1QC"
"GO:0030511","positive regulation of transforming growth factor beta receptor signaling pathway","1/6","29/18862",0.00919072497010898,0.0360138696078615,0.0156998261980045,"116844",1,"LRG1"
"GO:1903846","positive regulation of cellular response to transforming growth factor beta stimulus","1/6","29/18862",0.00919072497010898,0.0360138696078615,0.0156998261980045,"116844",1,"LRG1"
"GO:0043312","neutrophil degranulation","2/6","485/18862",0.00924075338374666,0.0360138696078615,0.0156998261980045,"3240/116844",2,"HP/LRG1"
"GO:0002283","neutrophil activation involved in immune response","2/6","488/18862",0.0093515343601852,0.0360138696078615,0.0156998261980045,"3240/116844",2,"HP/LRG1"
"GO:0002446","neutrophil mediated immunity","2/6","499/18862",0.00976295264591152,0.0360138696078615,0.0156998261980045,"3240/116844",2,"HP/LRG1"
"GO:0042119","neutrophil activation","2/6","500/18862",0.00980076021685313,0.0360138696078615,0.0156998261980045,"3240/116844",2,"HP/LRG1"
"GO:0042744","hydrogen peroxide catabolic process","1/6","31/18862",0.00982196443850769,0.0360138696078615,0.0156998261980045,"3240",1,"HP"
"GO:0030851","granulocyte differentiation","1/6","33/18862",0.0104528687384796,0.0369583573253386,0.0161115645969047,"714",1,"C1QC"
"GO:0051354","negative regulation of oxidoreductase activity","1/6","35/18862",0.0110834380124122,0.0378365642492692,0.0164944086573103,"3240",1,"HP"
"GO:0030212","hyaluronan metabolic process","1/6","39/18862",0.0123435720514743,0.0407337877698652,0.0177574194424718,"3698",1,"ITIH2"
"GO:0006953","acute-phase response","1/6","46/18862",0.0145455867871505,0.0441830648257687,0.0192610915242586,"3240",1,"HP"
"GO:0050873","brown fat cell differentiation","1/6","46/18862",0.0145455867871505,0.0441830648257687,0.0192610915242586,"116844",1,"LRG1"
"GO:0030225","macrophage differentiation","1/6","47/18862",0.0148598260770783,0.0441830648257687,0.0192610915242586,"714",1,"C1QC"
"GO:0002762","negative regulation of myeloid leukocyte differentiation","1/6","48/18862",0.0151739818593549,0.0441830648257687,0.0192610915242586,"714",1,"C1QC"
"GO:0006968","cellular defense response","1/6","54/18862",0.0170571638863952,0.0482474064215179,0.0210328938148031,"922",1,"CD5L"
"GO:0042743","hydrogen peroxide metabolic process","1/6","56/18862",0.0176842239720697,0.0486316159231917,0.0212003854635923,"3240",1,"HP"
