"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","geneSymbols"
"GO:0004867","serine-type endopeptidase inhibitor activity","2/6","98/18337",0.000418201342962028,0.00363736661477081,0.00023930043518229,"3698/5858",2,"ITIH2/PZP"
"GO:0004252","serine-type endopeptidase activity","2/6","168/18337",0.00122173902769666,0.00363736661477081,0.00023930043518229,"922/3240",2,"CD5L/HP"
"GO:0004866","endopeptidase inhibitor activity","2/6","180/18337",0.00140061010426243,0.00363736661477081,0.00023930043518229,"3698/5858",2,"ITIH2/PZP"
"GO:0008236","serine-type peptidase activity","2/6","186/18337",0.00149449968118783,0.00363736661477081,0.00023930043518229,"922/3240",2,"CD5L/HP"
"GO:0030414","peptidase inhibitor activity","2/6","187/18337",0.00151043580609823,0.00363736661477081,0.00023930043518229,"3698/5858",2,"ITIH2/PZP"
"GO:0017171","serine hydrolase activity","2/6","188/18337",0.00152645407812369,0.00363736661477081,0.00023930043518229,"922/3240",2,"CD5L/HP"
"GO:0061135","endopeptidase regulator activity","2/6","192/18337",0.00159134789396223,0.00363736661477081,0.00023930043518229,"3698/5858",2,"ITIH2/PZP"
"GO:0061134","peptidase regulator activity","2/6","230/18337",0.00227290922792854,0.00454581845585709,0.000299067003674808,"3698/5858",2,"ITIH2/PZP"
"GO:0004857","enzyme inhibitor activity","2/6","385/18337",0.00623665821197532,0.011087392376845,0.000729433709002961,"3698/5858",2,"ITIH2/PZP"
"GO:0005160","transforming growth factor beta receptor binding","1/6","24/18337",0.00782838802129193,0.0116537025185169,0.000766690955165585,"116844",1,"LRG1"
"GO:0004175","endopeptidase activity","2/6","438/18337",0.00801192048148036,0.0116537025185169,0.000766690955165585,"922/3240",2,"CD5L/HP"
"GO:0005044","scavenger receptor activity","1/6","47/18337",0.0152826048725853,0.0203768064967803,0.00134057937478818,"922",1,"CD5L"
"GO:0038024","cargo receptor activity","1/6","75/18337",0.0242942565758185,0.0299006234779305,0.00196714628144279,"922",1,"CD5L"
"GO:0016209","antioxidant activity","1/6","86/18337",0.0278156931999999,0.0317893636571427,0.00209140550375939,"3240",1,"HP"
"GO:0002020","protease binding","1/6","131/18337",0.0421114904058,0.04491892309952,0.00295519230917895,"5858",1,"PZP"
