"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","geneSymbols"
"GO:0001906","cell killing","4/25","179/18862",8.4891005542263e-05,0.0441909283785841,0.032750468211738,"6845/2147/1667/563",4,"VAMP7/F2/DEFA1/AZGP1"
"GO:0002699","positive regulation of immune effector process","4/25","219/18862",0.000184678450406746,0.0441909283785841,0.032750468211738,"5950/6845/8013/563",4,"RBP4/VAMP7/NR4A3/AZGP1"
"GO:0048670","regulation of collateral sprouting","2/25","17/18862",0.000226590438013249,0.0441909283785841,0.032750468211738,"1630/6696",2,"DCC/SPP1"
"GO:0033005","positive regulation of mast cell activation","2/25","19/18862",0.000284441529420733,0.0441909283785841,0.032750468211738,"6845/8013",2,"VAMP7/NR4A3"
"GO:0002697","regulation of immune effector process","5/25","465/18862",0.000314847861628114,0.0441909283785841,0.032750468211738,"5950/6845/2147/8013/563",5,"RBP4/VAMP7/F2/NR4A3/AZGP1"
"GO:0048640","negative regulation of developmental growth","3/25","107/18862",0.000372745452250439,0.0441909283785841,0.032750468211738,"1630/5950/6696",3,"DCC/RBP4/SPP1"
"GO:0048668","collateral sprouting","2/25","23/18862",0.00041947504501503,0.0441909283785841,0.032750468211738,"1630/6696",2,"DCC/SPP1"
"GO:0001909","leukocyte mediated cytotoxicity","3/25","113/18862",0.000437397379482865,0.0441909283785841,0.032750468211738,"6845/2147/563",3,"VAMP7/F2/AZGP1"
"GO:0051873","killing by host of symbiont cells","2/25","25/18862",0.000496593867696142,0.0441909283785841,0.032750468211738,"2147/1667",2,"F2/DEFA1"
"GO:0046887","positive regulation of hormone secretion","3/25","124/18862",0.000573812618419436,0.0441909283785841,0.032750468211738,"5950/6845/6696",3,"RBP4/VAMP7/SPP1"
"GO:0051883","killing of cells in other organism involved in symbiotic interaction","2/25","27/18862",0.000580071852224851,0.0441909283785841,0.032750468211738,"2147/1667",2,"F2/DEFA1"
"GO:0050768","negative regulation of neurogenesis","3/25","133/18862",0.000703665851238959,0.049139331944854,0.0364177940553496,"1630/6696/2147",3,"DCC/SPP1/F2"
