100UE-A,100-UE-B,100UE-B,101UE-A,101UE-B,102UE-A,102UE-B,103UE-A,103UE-B,105UE-A,105UE-B,106UE-A,106UE-B,109UE-A,109UE-B,111UE-A,111UE-B,115UE-A,115UE-B,MBUE-A,MBUE-B,SPUE-A,SPUE-B,MBWUE-A,MBWUE-B,SPWUE-A,SPWUE-B
J3KPT9,P02768,J3KPT9, J3KPT9, J3KPT9, J3KPT9, J3KPT9, J3KPT9, J3KPT9,P02760,P02768,P02760, J3KPT9, J3KPT9, J3KPT9,P02760, J3KPT9,P02768,P02768,P02768,P02768, J3KPT9, J3KPT9,P04264,P02768,P02768,P01834
P02768,P01023,P04264,P02768,P02768,P02768,,P02760,P02760, J3KPT9, J3KPT9, J3KPT9,P01834,P02760,P02760, J3KPT9,P02760,P02787,P02760, J3KPT9,P01834,P01834,P01834,P13645,P01834,P01834,P02760
,P01857,P35908,P02760,P02760,P02760,,Q16853,P02763,P02768,P02760,P02763,P02768,P02763,P02763,P02768,P02768,P02760, C9JEV0,P01834, J3KPT9,P02768,P02760,P02538,P02760,P02760,P04264
,P01871-2,P04259,P25311,P02763, H7C4W7,,, H0YA55,P25311,P02750,P25311,P02760, H0Y5A1,P04264,P25311, C9JEV0,P02763,P02763, H0Y5A1, H0Y5A1,P02760, C9JEV0,P35908,P04264,P04264,P13645
,P04220,P13645,P01834,P25311,,,, H0Y5A1,P02763,P02763,P02768,P02763,,P52272-2,P02763,P02763,P01834,P59665,P53634,P02760,P02763,P02763,P04259,Q9HAT2,P25311,P25311
,P02647,P02538,P02763,P01834,,,, J3KRR7,P02750,P25311, C9JF17, H0Y5A1,, H0Y5A1, C9JMK5,P07998,Q92570-3,P02787,,P02763, C9JF17, H0Y5A1,P02768,P02763,P02763,P02538
,P01859,Q7RTS7, H0Y5A1,P0CF74,,,,,P19652,P19652,P01834, J3KRR7,, F5GZQ6,Q7L0Y3, C9JV37,P59665,P01876,,P07998,P19652,P02768,Q86Y46, H0Y5A1, J3KPT9,P35908
,P02787,P35527,, H0Y5A1,,,,,P08571,P08571, H7C5E6,,, J3KRR7,,A0M8Q6, H0Y5A1, J3KPT9,,,P0CF74,P0CF74,P02763, H0Y4T9,P35527, H0YA55
,P01834,,,O60487,,,,,P01834, G3V3A0, D6R9C5,,,,,P0DJD7,P01857,P01834,,,P01859,,P02760,,P0CF74, H0Y5A1
,P01876,,,Q8N3X6-2,,,,, E9PNW4, Q0VAC5, J3KRR7,,,,,P01834, H7BZJ8, E9PNW4,,,,,P35527,, H0Y5A1,
,O43866,,,,,,,, C9JF17, Q5VY30,,,,,, C9J979,, H0Y5A1,,,,,,,P10451-2,
,P01620,,,,,,,, Q5VY30,P01834,,,,,,,,P19652,,,,,,,P13645,
,P04114,,,,,,,, H0Y5A1,P52272-2,,,,,,,,,,,,,,,O00187-2,
,P01861,,,,,,,, C9JMK5, B1AVU8,,,,,,,,,,,,,,, D6RCM9,
,P00738,,,,,,,, Q0VAC5, J3KRR7,,,,,,,,,,,,,,,,
,P0CF74,,,,,,,, G3V3A0,Q8NGX3,,,,,,,,,,,,,,,,
,P0CG05,,,,,,,, D6RGV7, B4E2S7,,,,,,,,,,,,,,,,
,P01024,,,,,,,, Q7Z451,Q8IV36-2,,,,,,,,,,,,,,,,
,P02790,,,,,,,,,P51809-2,,,,,,,,,,,,,,,,
,P20742,,,,,,,,,,,,,,,,,,,,,,,,,
,P19652,,,,,,,,,,,,,,,,,,,,,,,,,
,P01009-2,,,,,,,,,,,,,,,,,,,,,,,,,
,P02763,,,,,,,,,,,,,,,,,,,,,,,,,
,P04004,,,,,,,,,,,,,,,,,,,,,,,,,
, D6RAK8,,,,,,,,,,,,,,,,,,,,,,,,,
,P02652,,,,,,,,,,,,,,,,,,,,,,,,,
,P01766,,,,,,,,,,,,,,,,,,,,,,,,,
,P02747,,,,,,,,,,,,,,,,,,,,,,,,,
, H7C5N5,,,,,,,,,,,,,,,,,,,,,,,,,
, Q5T985,,,,,,,,,,,,,,,,,,,,,,,,,
, B4E2G9,,,,,,,,,,,,,,,,,,,,,,,,,
, J3QRL3,,,,,,,,,,,,,,,,,,,,,,,,,
