UNIPROT,SYMBOL,ENTREZID
P02768,ALB,213
P01023,A2M,2
P01871,NA,NA
P01857,NA,NA
P01859,NA,NA
O43866,CD5L,922
J3QR68,NA,NA
P01834,NA,NA
P02787,TF,7018
P01024,C3,718
P04220,NA,NA
P0CF74,NA,NA
P04114,APOB,338
P02652,APOA2,336
P00739,HPR,3250
P01876,NA,NA
P02647,APOA1,335
P01860,NA,NA
P02790,HPX,3263
P01596,NA,NA
P01765,NA,NA
D6RD17,NA,NA
P04004,VTN,7448
H3BS21,NA,NA
P01593,NA,NA
P01620,NA,NA
E9PFZ2,NA,NA
P01009,SERPINA1,5265
P04003,C4BPA,722
P00734,F2,2147
P01613,NA,NA
P02747,C1QC,714
P01019,AGT,183
P04196,HRG,3273
P04217,A1BG,1
F5H7E1,NA,NA
F8W7G7,NA,NA
P19652,ORM2,5005
Q5T985,NA,NA
P02763,ORM1,5004
D6RAK8,NA,NA
Q96PF1,TGM7,116179
C9JSB2,NA,NA
Q0VAC5,NA,NA
F8W696,NA,NA
E9PIT3,NA,NA
P01764,NA,NA
P0C0L4,C4A,720
P0C0L4,C4B,721
B4E1Z4,NA,NA
H7C5D0,NA,NA
P01031,C5,727
Q8IWB1,ITPRIP,85450
P00738,HP,3240
P01877,NA,NA
A2BHY4,NA,NA
P00450,CP,1356
P01861,NA,NA
P0DJI8,SAA1,6288
A6PVY5,NA,NA
O75533,SF3B1,23451
J3KN47,NA,NA
G3V3A0,NA,NA
E7EVA3,NA,NA
C9JPV4,NA,NA
B4DNQ5,IL6,3569
Q99856,ARID3A,1820
B4DK71,NA,NA
P0CG05,NA,NA
P01766,NA,NA
P68871,HBB,3043
P80748,NA,NA
F8VNX2,NA,NA
O76081,RGS20,8601
H3BMJ7,NA,NA
G3V1N2,NA,NA
P01717,NA,NA
B4DH42,NA,NA
B0YIW2,NA,NA
P01611,NA,NA
Q8NHU6,TDRD7,23424
I3L487,NA,NA
Q9BYJ4,TRIM34,53840
Q6IFG1,OR52E8,390079
O75460,ERN1,2081
H0YA82,NA,NA
Q5KU28,NA,NA
P46199,MTIF2,4528
P0CG04,NA,NA
